,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,90,US,1551921267,72,42.65,-73.75,17.6,11.41
1,Waipawa,0,NZ,1551918556,41,-39.94,176.59,80.01,1.99
2,Verkhoyansk,80,RU,1551921441,72,67.55,133.39,-11.89,3.74
3,Tonantins,20,BR,1551921441,59,-2.86,-67.77,87.16,7.65
4,Puerto Ayora,20,EC,1551916800,78,-0.74,-90.35,80.6,6.93
5,Vaini,0,IN,1551916800,87,15.34,74.49,53.6,2.17
6,Lavrentiya,76,RU,1551921442,100,65.58,-170.99,18.49,5.41
7,Pangody,76,RU,1551921442,82,65.85,74.49,17.09,20.62
8,Boa Vista,0,BR,1551920400,45,2.82,-60.67,87.8,12.75
9,Mount Gambier,8,AU,1551916800,48,-37.83,140.78,60.8,8.05
10,Mataura,92,NZ,1551921006,91,-46.19,168.86,55.99,14.0
11,Nikolskoye,0,RU,1551918600,62,59.7,30.79,21.2,6.71
12,Ushuaia,44,AR,1551921445,96,-54.81,-68.31,37.88,12.12
13,Killin,1,US,1551921179,45,33.61,-91.74,44.6,6.93
14,Paita,88,PE,1551921207,69,-5.09,-81.11,79.55,5.75
15,Avarua,88,CK,1551918600,66,-21.21,-159.78,84.2,19.46
16,Nouadhibou,0,MR,1551916800,82,20.93,-17.03,62.6,18.34
17,Krasnoborsk,56,RU,1551921446,80,61.56,45.93,8.0,7.54
18,Sorong,68,ID,1551921446,100,-0.86,131.25,78.83,4.29
19,Bundaberg,75,AU,1551921309,70,-24.87,152.35,88.0,12.75
20,Ouallam,0,NE,1551921447,19,14.32,2.08,68.66,7.99
21,Punta Arenas,40,CL,1551921188,99,-53.16,-70.91,44.6,14.99
22,Busselton,88,AU,1551921351,63,-33.64,115.35,71.01,8.21
23,Thompson,20,CA,1551916800,55,55.74,-97.86,10.4,11.41
24,Jacareacanga,8,BR,1551921448,86,-6.22,-57.76,79.06,2.17
25,Rikitea,88,PF,1551921449,98,-23.12,-134.97,80.72,17.72
26,Atuona,32,PF,1551921449,99,-9.8,-139.03,82.66,17.27
27,Cape Town,20,ZA,1551921375,82,-33.93,18.42,66.99,4.7
28,Mandalgovi,0,MN,1551921449,76,45.76,106.27,12.73,5.08
29,Linxia,92,CN,1551921450,90,35.6,103.21,25.01,2.95
30,Isangel,75,VU,1551916800,79,-19.55,169.27,84.2,6.93
31,College,90,US,1551921246,79,64.86,-147.8,26.01,4.18
32,Bredasdorp,32,ZA,1551921407,87,-34.53,20.04,60.8,6.93
